X,Y,OBJECTID,PROPERTY_UNIT_ID,STREET,UPDATE_DATE,X_COORD,Y_COORD,UNIT_TYPE,STATUS,ROADSEGMENTID,CIVIC_NO,UNIT,LATITUDE,LONGITUDE,PARCELID,WARD,POLL,ROLL_REFERENCE,GlobalID
-80.4969879,43.4555715,871148,40266764,DUKE ST W,2023/11/25 08:42:45+00,540695.8166,4811529.183,UNIT,ACTIVE,8829,313,2,,,50002779,10,15,301201000514100,951f7145-d6d9-4c8f-a726-7244a69b9ac4
-80.4969879,43.4555715,871149,40266765,DUKE ST W,2023/11/25 08:42:45+00,540695.8166,4811529.183,UNIT,ACTIVE,8829,313,3,,,50002779,10,15,301201000514100,c8fef143-23a0-44b6-ad0a-8a80a5297c29
-80.4969879,43.4555715,871152,40266763,DUKE ST W,2023/11/25 08:42:45+00,540695.8166,4811529.183,UNIT,ACTIVE,8829,313,1,,,50002779,10,15,301201000514100,929bfc5c-9e31-4f6b-87de-86bc5e7b6f89
-80.49134053,43.45620731,872132,40266757,GZOWSKI LANE,2023/11/25 08:42:45+00,541152.2788,4811602.569,UNIT,ACTIVE,50016,10,UTL,,,55077179,10,15,,75a47bde-079f-4e3f-ae2b-e2fc0158e29e
-80.493128,43.4535582,872148,2036363,WATER ST N,2023/11/25 08:40:24+00,541009.4575,4811307.484,VERTICAL UNIT,ACTIVE,7056,53,1007,,,50000109,10,20,301202000313000,5c50af29-d2a8-4db9-812f-7ae5c114b1de
-80.493128,43.4535582,872165,2035814,WATER ST N,2023/11/25 08:40:23+00,541009.4575,4811307.484,VERTICAL UNIT,ACTIVE,7056,53,1407,,,50000109,10,20,301202000313000,9fd587e9-9c46-45ae-aec6-63071f2898b0
-80.48376652,43.47227161,872166,4020205,LANCASTER ST W,2023/11/25 08:40:19+00,541753.98,4813390.4,VERTICAL UNIT,ACTIVE,6985,428,3B,,,50001425,10,5,301201001320300,976ac527-d62e-4c46-b80c-c7b94ae56e84
-80.49654176,43.46385552,872177,2002323,MARGARET AVE,2023/11/25 08:40:27+00,540726.3506,4812449.403,VERTICAL UNIT,ACTIVE,11190,315,810,,,50062147,10,10,301201000825397,bbfe5685-ddd8-4847-8cd4-61dc7769b4ce
-80.50844436,43.45692938,872184,2056325,KING ST W,2023/11/25 08:41:56+00,539768.056,4811674.452,VERTICAL UNIT,ACTIVE,11061,812,1410,,,50002023,10,10,301201000103524,67b13496-e30d-4b9d-9770-a1aec9a2709b
-80.48775646,43.45354508,872214,40266940,AHRENS ST W,2023/11/25 08:42:17+00,541444.0589,4811308.685,UNIT,ACTIVE,6784,21,A,,,50000308,10,20,301202000509300,41fefb7f-b43c-425f-8d3d-f170eda92fab
-80.49948473,43.45406294,872293,40266960,BREITHAUPT ST,2023/11/25 08:42:49+00,540494.82,4811360.43,UNIT,ACTIVE,1730,51,D-200,,,50002315,10,15,301201000407100,2877c490-6051-4f4d-a804-28856adb49a1
-80.48576652,43.45926173,872316,40267248,ST LEGER ST,2023/11/25 08:42:48+00,541601.1386,4811944.554,UNIT,ACTIVE,7045,72,2,,,50001334,10,15,301201000405300,9e32755a-fb1a-4c2b-b543-df9fa08d5438
